,0
303,(99.99999998966264+0j)
304,(99.99999999018873+0j)
305,(99.99999999069054+0j)
306,(99.99999999115548+0j)
307,(99.9999999916263+0j)
308,(99.9999999920395+0j)
309,(99.99999999241001+0j)
310,(99.99999999278509+0j)
311,(99.99999999311561+0j)
312,(99.99999999343159+0j)
313,(99.99999999374113+0j)
314,(99.99999999404847+0j)
315,(99.99999999434571+0j)
316,(99.99999999462838+0j)
317,(99.99999999488267+0j)
318,(99.99999999510369+0j)
319,(99.99999999531488+0j)
320,(99.99999999551954+0j)
321,(99.99999999571635+0j)
322,(99.9999999959029+0j)
323,(99.99999999608481+0j)
324,(99.99999999626012+0j)
325,(99.9999999964312+0j)
326,(99.99999999659414+0j)
327,(99.9999999967562+0j)
328,(99.9999999969116+0j)
329,(99.99999999706218+0j)
330,(99.99999999719829+0j)
331,(99.9999999973278+0j)
332,(99.99999999745435+0j)
333,(99.99999999752252+0j)
334,(99.9999999975967+0j)
335,(99.99999999767216+0j)
336,(99.99999999775764+0j)
337,(99.99999999783806+0j)
338,(99.99999999791976+0j)
339,(99.9999999980354+0j)
340,(99.99999999813083+0j)
341,(99.99999999823144+0j)
342,(99.99999999833308+0j)
343,(99.99999999844293+0j)
344,(99.9999999985501+0j)
345,(99.99999999865668+0j)
346,(99.99999999874905+0j)
347,(99.99999999881558+0j)
348,(99.99999999887659+0j)
349,(99.99999999893478+0j)
350,(99.99999999899174+0j)
351,(99.99999999904746+0j)
352,(99.99999999910173+0j)
353,(99.99999999915177+0j)
354,(99.99999999919945+0j)
355,(99.99999999924592+0j)
356,(99.99999999929187+0j)
357,(99.99999999933567+0j)
358,(99.99999999937786+0j)
359,(99.99999999941755+0j)
360,(99.99999999945571+0j)
361,(99.99999999948878+0j)
362,(99.99999999951899+0j)
363,(99.9999999995459+0j)
364,(99.99999999957153+0j)
365,(99.9999999995968+0j)
366,(99.99999999962058+0j)
367,(99.99999999964236+0j)
368,(99.99999999966357+0j)
369,(99.99999999968446+0j)
370,(99.99999999970294+0j)
371,(99.99999999971844+0j)
372,(99.99999999973473+0j)
373,(99.99999999975067+0j)
374,(99.99999999976417+0j)
375,(99.99999999977751+0j)
376,(99.99999999979009+0j)
377,(99.99999999980221+0j)
378,(99.99999999981361+0j)
379,(99.99999999982482+0j)
380,(99.99999999983561+0j)
381,(99.99999999984631+0j)
382,(99.99999999985656+0j)
383,(99.99999999986647+0j)
384,(99.99999999987573+0j)
385,(99.9999999998839+0j)
386,(99.99999999989188+0j)
387,(99.9999999998993+0j)
388,(99.9999999999065+0j)
389,(99.99999999991145+0j)
390,(99.99999999991661+0j)
391,(99.99999999992227+0j)
392,(99.99999999992816+0j)
393,(99.99999999993446+0j)
394,(99.99999999994101+0j)
395,(99.99999999994768+0j)
396,(99.99999999995224+0j)
397,(99.9999999999561+0j)
398,(99.99999999996015+0j)
399,(99.99999999996434+0j)
400,(99.99999999996744+0j)
401,(99.9999999999704+0j)
402,(99.99999999997326+0j)
403,(99.99999999997591+0j)
404,(99.9999999999782+0j)
405,(99.99999999998043+0j)
406,(99.99999999998239+0j)
